"id";"name";"address";"mobile";"postcode";"state";"lat";"lng";"status";"institution";"type";"rating";"service";"panel";"img";"hour"
"93";"KLINIK AKASHAH";"4, Jalan 5/38B, Taman Segambut (SPPK)";"123456789";"51200";"kuala lumpur";"3.1839128";"101.6604767";"tutup";"private";"hospital";"5";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare";NULL;NULL
"94";"KLINIK CHAN";"215, Jalan Pudu";"123456789";"55100";"kuala lumpur";"3.1379116";"101.7098770";"buka";"private";"klinik";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare,medkad";NULL;NULL
"95";"KLINIK LIM";"10A, 1st. Floor Jalan Kenanga Off Jalan Hang Tuah";"123456789";"55200";"kuala lumpur";"3.1384585";"101.7048950";"buka";"private";"veterinar";"9";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"96";"KLINIK K.H.ONG";"Ground Floor Darul Takaful 4 Jalan Sultan Sulaiman";"123456789";"50000";"kuala lumpur";"3.1394448";"101.6959534";"tutup";"private";"veterinar";"10";"fastcovid19,perancang,fomema,kehamilan,xray";"pmcare,selcare";NULL;NULL
"97";"CHANG SKIN CLINIC";"70, 3rd Floor Jalan Pudu";"123456789";"55100";"kuala lumpur";"3.1457860";"101.7025223";"buka";"private";"veterinar";"7";"kehamilan,xray,denggi,ecg,fomema";"selcare,medkad";NULL;NULL
"98";"KLINIK TAMAN DESA";"50A, Jalan Desa Bakti Town Centre, 3 1/2 Jalan Klang Lama";"123456789";"58100";"kuala lumpur";"3.1029105";"101.6840668";"buka";"private";"hospital";"5";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"99";"KLINIK RAMABAI DAN SURGERI SDN. BHD.";"No. 14, Jalan Burung Tiung Taman Bukit Maluri";"123456789";"52100";"kuala lumpur";"3.2009888";"101.6326294";"tutup";"private";"farmasi";"6";"ultrasound,covid19,fastcovid19,perancang,fomema";"pmcare,selcare";NULL;NULL
"100";"Batu Pahat Health Clinic";"Jalan Kluang, Taman Limpoon, 83000 Batu Pahat, Johor";"07433 2544";"83000";"johor";"1.8501750";"102.9417267";"buka";"private";"pergigian";"8";"fastcovid19,perancang,fomema,kehamilan,xray";"aia,tnb,pmcare";NULL;NULL
"101";"NULKlinik Kee @ Batu PahatL";"49, Jalan Abu Bakar, Kampung Pegawai, 83000 Batu Pahat, Johor";"0162560926";"83000";"johor";"1.8525389";"102.9293671";"buka";"private";"pergigian";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"102";"Klinik Azlina & Surgeri Batu Pahat";"Jalan Rugayah, Kampung Pegawai, 83000 Batu Pahat, Johor";"074313800";"83000";"johor";"1.8550550";"102.9263992";"tutup";"gov";"pergigian";"9";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,selcare,medkad";NULL;NULL
"103";"KLINIK NUR";"No.214, Jalan Rugayah, Kim's Park Business Centre, 83000 Batu Pahat, Johor";"074346203";"83000";"johor";"1.8576360";"102.9264984";"buka";"gov";"pergigian";"6";"covid19,fastcovid19,ecg,imunisasi";"aia,tnb,medkad";NULL;NULL
"105";"Klinik Teo";"196, Jalan Megat, Kim's Park Business Centre, 83000 Batu Pahat, Johor";"074346063";"83000";"johor";"1.8571810";"102.9264450";"tutup";"private";"pergigian";"7";"xray,denggi,ecg,fomema";"aia,tnb,pmcare,selcare";NULL;NULL
